t 64:62:58:78:24|69:00:34:67:41
t 69:56:47:05:18|74:12:03:16:55
t 08:00:50:53:22|74:20:53:26:32
t 27:77:08:03:24|65:91:91:21:76
t 36:46:07:36:49|44:22:27:49:26
t 40:98:25:11:63|99:40:09:20:05
t 15:44:76:04:73|27:99:25:83:86
t 34:52:13:96:94|77:31:01:32:54
t 79:67:29:46:12|80:04:33:13:92
t 35:55:04:62:04|70:37:71:82:80
t 60:15:53:65:64|64:05:95:10:95
t 25:01:11:71:56|62:60:51:00:97
t 10:15:30:00:60|81:35:28:10:51
t 25:42:47:78:61|80:39:18:62:20
t 07:43:11:72:45|52:42:37:20:35
t 01:79:41:70:97|89:96:25:78:82
t 07:72:05:23:00|61:87:41:73:89
t 32:46:85:95:59|60:24:93:69:86
t 51:03:99:31:74|99:77:02:76:67
t 28:98:50:42:76|68:73:56:49:68
t 45:37:78:23:46|90:37:85:44:93
t 17:42:85:08:87|77:30:71:82:19
t 45:63:72:49:72|64:29:35:46:50
t 39:29:84:99:50|52:18:23:49:78
t 07:89:97:73:11|65:38:64:40:35
t 26:36:48:79:91|87:43:80:72:49
t 49:25:35:11:23|69:08:35:17:58
t 52:51:90:20:14|69:25:82:22:82
t 83:85:77:43:15|97:05:09:91:02
t 28:25:15:25:02|72:37:59:93:60
t 00:66:45:91:96|10:53:41:55:75
t 57:69:71:97:03|77:23:07:92:05
t 52:97:00:12:74|96:68:22:17:85
t 17:18:39:70:11|54:87:26:98:02
t 23:17:69:50:58|94:91:94:45:87
t 73:39:76:39:64|95:42:68:34:02
t 89:99:17:52:33|99:16:54:85:70
t 15:08:13:56:52|47:72:98:35:24
t 31:85:14:01:45|34:40:40:06:38
t 64:59:50:11:17|74:46:87:12:68
t 91:52:65:32:14|95:20:37:89:98
t 19:52:92:62:17|51:74:20:06:95
t 13:88:08:62:99|96:27:57:69:18
t 49:30:06:98:38|74:44:33:63:94
t 72:80:84:57:52|83:35:69:43:52
t 03:52:21:59:92|79:32:08:44:17
t 61:78:11:82:25|77:41:28:25:21
t 06:27:54:55:96|83:65:19:47:34
t 47:56:07:78:62|50:74:46:83:52
t 60:47:35:20:23|70:01:79:22:68
t 34:10:09:89:80|99:69:02:63:93
t 18:61:37:59:51|78:22:58:62:66
t 83:63:29:47:06|97:10:60:37:43
t 27:58:16:27:06|92:39:85:99:04
t 01:78:09:94:17|55:21:66:45:49
t 78:24:21:19:19|99:87:65:39:01
t 29:82:18:95:21|87:93:54:33:29
t 23:75:79:29:67|34:39:40:30:28
t 35:88:77:88:77|85:00:81:38:16
t 17:78:50:15:70|75:84:25:00:72
t 42:93:97:62:16|70:73:11:96:80
t 39:03:68:35:75|49:12:54:78:61
t 52:48:81:97:94|74:72:57:23:17
t 16:60:04:83:58|36:87:77:88:23
t 12:81:18:86:78|34:35:54:30:87
t 53:66:39:56:50|98:15:67:85:05
t 07:64:26:16:84|51:95:38:10:51
t 59:39:78:47:46|99:92:65:84:20
t 28:78:25:40:67|95:67:54:03:07
t 17:89:21:81:04|22:69:57:57:58
t 13:14:47:03:68|24:05:46:74:73
t 09:56:41:73:96|42:99:47:44:00
t 56:75:93:52:13|83:86:47:26:72
t 22:70:53:96:99|31:53:94:12:77
t 19:16:42:55:75|64:74:54:36:66
t 19:47:04:85:51|70:35:34:29:10
t 20:23:31:05:86|99:48:94:82:73
t 08:12:68:13:51|79:19:90:03:64
t 39:47:35:64:43|96:94:00:47:46
t 55:55:89:25:98|94:46:44:11:20
t 02:74:10:88:86|94:98:88:42:58
t 10:52:33:77:47|32:98:62:98:60
t 34:15:97:46:32|34:78:37:11:54
t 37:68:67:13:32|95:17:52:40:15
t 14:48:07:23:77|29:07:90:18:71
t 84:85:07:58:87|95:87:58:72:32
t 51:73:55:67:17|55:79:41:44:27
t 34:25:60:69:43|98:06:23:46:94
t 54:75:51:02:13|98:61:65:89:67
t 41:03:98:43:62|85:66:44:04:48
t 21:88:94:86:87|89:90:93:91:89
t 81:81:65:15:92|87:27:02:36:89
t 04:99:15:84:85|53:07:92:18:86
t 30:19:47:32:74|43:49:37:09:99
t 12:04:00:95:49|61:14:49:71:62
t 29:13:96:65:54|42:13:19:24:42
t 73:08:04:01:78|97:90:12:32:13
t 10:52:51:74:33|92:53:65:65:44
t 64:10:54:77:83|74:75:05:55:14
t 14:02:71:59:96|72:06:60:36:58
t 24:60:41:96:38|86:11:81:86:20
t 04:70:05:34:12|65:45:25:44:78
t 02:27:02:32:38|37:13:91:99:61
t 26:01:36:15:42|99:63:54:03:18
t 06:40:96:79:54|55:49:64:36:99
t 09:81:17:29:83|99:19:10:70:20
t 18:30:23:56:68|68:34:77:02:17
t 33:76:90:97:07|82:78:81:41:23
t 41:00:58:80:21|76:39:26:08:34
t 20:70:57:37:87|80:35:99:24:51
t 68:46:01:17:86|77:60:52:61:32
t 34:01:56:17:76|61:68:88:17:84
t 33:05:32:17:06|56:09:73:44:13
t 01:34:68:98:85|90:30:11:78:37
t 47:40:04:00:05|53:12:36:33:73
t 48:22:95:45:35|67:03:01:96:03
t 75:32:50:95:00|93:53:16:38:97
t 59:43:73:17:14|65:20:49:35:67
t 95:27:23:41:73|98:58:36:54:27
t 53:95:34:55:64|69:23:71:86:09
t 03:79:11:20:74|76:24:51:18:10
t 72:62:14:71:39|85:10:21:30:52
t 05:83:11:71:51|73:57:55:22:87
t 51:28:22:47:30|87:02:54:61:64
t 79:43:07:25:62|89:07:00:75:14
t 50:34:19:09:20|65:54:93:25:06
t 38:01:60:29:51|49:81:58:77:46
t 04:89:55:59:15|59:22:03:07:37
t 34:64:20:04:71|93:92:45:83:52
t 56:59:35:31:07|78:21:00:25:86
t 06:09:03:95:89|48:22:31:83:92
t 68:28:15:53:00|75:40:63:46:84
t 10:37:38:63:77|97:36:56:69:22
t 58:31:78:64:09|99:97:86:08:83
t 41:38:50:78:67|86:00:08:54:24
t 19:87:03:09:95|22:70:99:82:55
t 42:39:57:99:67|59:02:51:80:42
t 19:76:39:30:55|39:28:34:51:20
t 60:15:70:75:05|66:10:03:58:35
t 35:95:15:55:83|69:57:67:19:63
t 04:00:36:28:77|13:07:28:01:99
t 75:73:26:37:52|85:21:03:04:34
t 14:86:50:01:97|83:21:22:11:44
t 25:40:71:77:40|53:96:64:89:35
t 19:98:28:45:21|76:50:01:71:19
t 42:71:18:04:52|68:42:05:21:80
t 19:47:80:44:92|94:67:14:13:82
t 56:82:07:56:86|63:24:40:41:12
t 49:18:37:36:81|81:76:05:53:34
t 22:86:53:45:93|49:08:03:34:87
t 15:42:05:10:29|38:92:15:28:60
t 42:13:60:41:49|94:71:01:81:03
t 53:26:75:38:81|75:25:35:30:53
t 20:64:13:26:04|73:89:49:53:05
t 14:33:35:33:61|70:81:03:33:88
t 26:83:07:27:64|87:59:56:48:95
t 23:15:98:58:35|34:18:28:69:75
t 19:18:28:38:36|56:25:00:77:85
t 09:52:46:03:49|48:39:61:59:11
t 09:45:70:91:14|24:15:60:76:08
t 18:51:02:34:57|67:77:55:54:60
t 68:97:60:18:23|96:86:16:38:24
t 28:01:73:83:73|41:75:31:73:61
t 16:93:49:70:64|38:47:36:73:19
t 56:82:78:90:39|87:16:82:19:95
t 08:16:78:98:13|63:92:33:65:21
t 45:03:19:77:85|75:90:43:36:68
t 02:96:40:01:07|76:37:38:07:02
t 06:12:79:91:15|31:55:92:00:65
t 36:99:65:99:28|93:48:68:29:88
t 04:88:14:72:15|73:38:25:80:78
t 04:25:14:92:34|50:58:63:73:01
t 28:29:17:40:91|59:04:84:53:81
t 06:29:28:16:13|77:87:51:54:55
t 25:26:04:00:72|26:40:36:57:97
t 56:24:42:19:94|63:16:98:64:53
t 23:87:45:21:56|79:77:54:30:22
t 13:18:80:33:95|50:36:73:36:70
t 08:76:12:25:17|48:35:91:11:27
t 19:31:53:09:81|66:09:03:95:52
t 74:85:73:24:68|96:26:29:48:27
t 07:15:82:77:39|68:76:66:20:95
t 36:03:12:22:18|87:90:89:66:73
t 47:08:62:93:33|93:02:92:48:05
t 17:35:94:54:20|40:42:97:60:56
t 53:17:25:80:67|82:29:01:89:35
t 03:30:18:08:87|44:68:30:07:26
t 15:50:40:05:86|63:49:84:42:10
t 68:03:55:51:61|78:61:95:34:41
t 19:29:93:90:88|58:73:30:53:62
t 41:84:56:45:28|78:67:59:16:32
t 04:37:74:28:66|13:92:69:91:04
t 25:98:85:17:27|97:00:47:96:65
t 03:29:05:22:27|68:57:42:82:24
t 66:94:69:74:58|86:71:22:51:43
t 28:65:64:14:83|82:14:94:79:21
t 51:00:47:19:41|88:90:64:71:98
t 47:10:69:00:04|95:22:63:77:14
t 17:83:00:59:52|18:74:11:79:00
t 65:61:31:03:83|84:60:45:01:03
t 56:34:60:16:52|64:52:71:83:11
t 52:34:95:54:48|85:48:31:88:95
t 87:45:09:26:68|90:42:19:24:62
t 08:45:12:37:10|89:33:30:43:84
t 13:41:05:60:46|80:95:62:45:75
t 20:24:79:36:05|56:32:67:53:86
t 03:94:33:72:19|31:49:05:79:56
t 13:91:22:35:63|93:28:69:60:34
t 19:59:27:66:62|80:66:07:23:73
t 25:58:28:76:09|87:52:68:44:42
t 45:20:41:58:67|99:15:92:61:14
t 30:49:25:27:34|89:83:83:52:47
t 42:70:24:56:93|52:97:04:23:31
t 46:28:77:99:69|70:57:96:19:52
t 40:95:44:22:81|99:33:81:73:46
t 70:68:60:29:14|92:39:38:97:77
t 48:71:22:69:52|53:13:52:74:37
t 10:78:39:36:96|16:06:21:91:08
t 12:86:68:77:86|48:13:70:45:86
t 02:64:17:23:65|14:83:01:86:79
t 02:36:91:89:35|84:78:45:58:85
t 56:08:78:86:74|95:27:36:28:31
t 65:00:19:68:78|90:35:89:56:13
t 55:11:82:69:43|99:91:64:81:24
t 27:28:23:84:86|76:06:80:48:10
t 36:25:25:32:35|67:02:62:31:48
t 06:20:70:47:94|59:22:10:66:36
t 46:05:97:44:26|89:09:99:36:44
t 60:61:23:78:31|97:05:57:44:54
t 26:92:74:86:31|83:51:85:01:77
t 46:34:16:52:74|49:42:25:18:78
g
t 07:70:91:55:62|91:78:29:64:90
t 33:86:01:30:67|91:30:35:88:16
t 55:73:53:85:06|89:81:15:46:73
t 55:80:87:96:66|79:15:43:99:43
t 17:18:81:19:76|18:17:68:12:13
t 43:76:57:80:78|58:30:10:36:29
t 04:72:55:01:52|09:96:79:07:13
t 82:80:77:49:11|93:14:38:83:58
t 68:57:49:67:06|90:84:69:79:67
t 63:87:95:27:63|78:70:36:33:48
t 39:23:91:02:57|85:14:53:93:62
t 06:39:48:20:90|83:77:68:93:23
t 03:09:99:54:60|97:21:93:15:54
t 37:80:65:98:91|48:47:30:07:39
t 21:43:76:80:32|30:59:73:84:65
t 19:10:94:36:34|85:34:89:69:10
t 67:54:90:78:47|98:02:68:11:52
t 27:35:97:07:71|95:38:93:16:80
t 17:14:17:11:10|85:46:46:29:44
t 04:90:74:79:63|09:61:77:94:29
t 21:89:19:44:96|56:49:22:79:63
t 02:49:60:44:89|89:03:74:04:74
t 17:92:13:32:19|39:21:47:53:54
t 79:58:22:56:04|92:59:25:19:39
t 31:84:88:28:62|45:49:03:29:83
t 13:09:52:32:12|90:41:54:60:43
t 30:03:36:62:32|79:10:05:36:26
t 76:19:96:46:62|99:98:90:03:38
t 22:76:38:95:71|65:56:34:76:67
t 07:86:13:22:15|49:56:81:60:33
t 11:60:34:38:46|29:62:52:53:25
t 17:20:44:93:66|31:16:84:48:93
t 60:16:49:08:84|76:31:84:46:36
t 82:35:89:68:59|84:38:82:32:11
t 47:26:80:02:10|56:18:28:29:67
t 32:05:32:79:33|57:30:09:13:47
t 26:97:31:19:01|71:91:79:69:81
t 28:79:97:70:71|55:88:40:45:08
t 49:29:45:24:03|91:07:40:79:24
t 09:33:26:10:15|24:12:89:98:11
t 13:52:11:40:23|81:94:13:41:07
t 14:71:96:50:73|67:13:81:34:05
t 24:19:44:41:79|69:41:47:97:49
t 33:40:03:78:82|80:75:22:85:22
t 44:54:16:30:16|54:47:76:29:88
t 08:36:84:00:77|41:19:68:46:57
t 17:45:04:02:16|80:89:49:50:92
t 04:72:65:47:60|82:30:28:83:35
t 28:19:68:66:33|82:49:76:54:29
t 30:81:10:12:19|50:97:61:75:51
t 20:99:58:24:15|21:77:82:73:40
t 34:21:27:02:41|95:06:07:53:40
t 46:80:67:61:32|63:41:52:85:51
t 43:95:06:27:04|70:26:60:65:55
t 49:78:73:99:31|69:57:42:16:19
t 47:77:98:03:46|72:95:64:34:30
t 31:44:05:84:51|61:69:84:16:58
t 27:75:23:96:10|96:46:28:68:40
t 47:47:85:57:74|86:39:66:47:12
t 22:93:61:56:20|25:11:68:36:35
t 20:03:24:04:75|39:90:30:92:89
t 22:73:40:04:01|71:20:06:82:31
t 00:84:56:72:18|34:24:55:19:58
t 59:15:03:48:46|92:34:74:72:56
t 03:13:13:30:47|09:64:59:15:17
t 39:94:39:33:27|85:16:44:29:91
t 14:87:35:96:84|22:15:67:87:04
t 23:42:06:91:25|91:21:81:49:46
t 06:14:75:37:17|48:27:96:93:24
t 63:83:42:46:70|71:21:70:43:82
t 00:22:24:18:26|01:57:40:68:97
t 60:67:78:74:31|76:48:44:41:25
t 28:22:49:68:94|77:17:54:12:90
t 47:43:67:16:60|64:23:66:41:15
t 26:56:72:30:67|93:43:19:02:76
t 32:98:77:23:46|62:96:82:57:75
t 09:41:28:84:01|48:20:03:80:60
t 27:45:17:98:00|32:96:26:34:96
t 49:92:27:71:94|85:19:72:97:08
t 47:13:36:31:52|75:55:13:60:48
t 32:20:28:50:12|60:73:71:88:22
t 22:91:13:18:44|85:77:73:17:51
t 03:79:63:28:79|74:48:91:61:30
t 70:33:83:45:52|96:60:42:09:91
t 25:65:89:67:53|39:50:92:99:80
t 47:77:66:42:42|91:81:54:10:35
t 33:07:80:59:10|96:97:83:07:82
t 74:46:33:45:56|97:28:55:86:59
t 22:89:17:46:32|48:70:41:60:94
t 25:74:13:86:00|48:81:68:40:03
t 00:52:69:64:26|95:30:23:14:86
t 29:42:78:41:66|84:73:84:94:14
t 34:43:15:99:06|40:16:30:26:61
t 96:41:04:75:26|99:94:98:70:89
t 07:71:56:83:18|24:43:10:76:31
t 23:77:30:27:08|34:90:31:71:12
t 16:92:81:45:69|84:10:78:18:62
t 53:22:56:13:83|60:21:01:74:04
t 08:08:71:84:32|59:99:58:75:73
t 55:06:81:37:60|97:55:12:39:38
t 28:82:05:17:72|75:39:38:10:53
t 05:48:67:95:82|85:93:65:00:56
t 72:70:16:29:62|99:80:33:98:30
t 36:62:04:42:72|46:38:79:25:64
t 43:13:74:13:41|66:42:82:40:16
t 00:28:49:79:69|49:38:73:23:95
t 44:52:47:67:73|55:93:61:86:86
t 48:95:19:52:51|96:54:00:89:39
t 19:58:16:45:68|67:21:75:21:51
t 54:14:61:35:96|71:78:85:90:70
t 00:23:96:29:43|54:34:71:30:56
t 23:72:22:90:16|61:02:48:08:22
t 09:21:64:28:46|98:15:64:03:01
t 00:35:52:34:25|01:41:47:65:08
t 91:25:92:39:97|91:57:82:60:27
t 22:00:18:96:13|59:56:84:91:70
t 64:45:22:72:11|93:56:67:71:09
t 23:09:13:89:80|55:57:70:43:01
t 19:98:15:35:87|67:90:82:91:37
t 18:99:90:74:07|23:64:96:74:13
t 16:57:45:03:40|97:73:65:37:57
t 40:26:60:24:48|48:71:41:28:19
t 29:00:46:49:64|40:09:29:39:50
t 06:60:08:02:58|66:34:29:72:93
t 75:39:51:53:53|83:13:94:01:87
t 09:26:28:48:34|78:23:61:55:01
t 34:41:04:65:83|60:42:38:25:13
t 40:63:49:17:27|75:42:35:95:15
t 43:64:62:49:82|71:24:27:95:14
t 16:28:86:12:11|27:31:90:12:96
t 48:53:68:30:12|70:54:41:00:99
t 43:93:21:51:36|96:26:68:52:51
t 28:89:28:24:69|82:43:39:31:35
t 24:78:30:00:76|65:23:36:85:83
t 41:33:71:87:93|54:35:69:21:51
t 12:75:48:72:76|48:78:96:93:97
t 25:26:67:45:62|70:41:79:65:00
t 45:58:26:77:24|73:81:42:68:64
t 05:08:83:66:29|60:15:16:21:08
t 69:89:44:69:50|82:82:32:19:92
t 02:92:32:19:69|87:11:60:26:17
t 19:56:32:11:98|39:09:75:10:46
t 09:87:45:43:40|30:81:59:72:73
t 47:46:86:88:48|56:77:27:46:14
t 54:09:25:06:66|63:74:45:78:24
t 18:61:03:93:85|37:43:74:88:12
t 65:62:21:61:09|67:39:14:62:93
t 24:45:93:24:55|37:05:52:85:18
t 72:70:98:91:12|99:61:05:08:48
t 04:78:81:54:04|85:43:59:49:66
t 48:29:11:21:79|65:31:62:06:91
t 50:58:53:63:17|54:89:69:49:64
t 54:63:58:89:88|75:81:39:72:37
t 58:42:07:21:09|83:49:16:96:49
t 17:19:42:04:86|57:22:64:52:56
t 24:68:09:84:60|64:51:60:84:55
t 00:17:34:57:55|67:79:25:25:51
t 08:92:53:23:40|88:23:16:86:56
t 06:67:34:75:18|23:61:74:46:32
t 33:56:80:31:55|46:89:74:26:83
t 17:14:46:23:36|85:11:02:03:65
t 45:81:43:87:77|86:93:46:38:91
t 48:33:56:78:72|96:87:34:91:22
t 38:97:58:55:08|81:28:40:67:14
t 07:17:51:67:84|68:27:07:56:87
t 77:29:19:90:22|83:08:34:55:03
t 57:45:92:97:54|91:04:84:71:62
t 64:64:62:91:53|72:74:25:25:90
t 33:55:63:40:62|82:92:78:27:59
t 09:89:19:36:38|62:56:78:41:75
t 39:52:92:57:94|72:99:32:54:46
t 96:94:80:35:78|97:66:51:02:61
t 05:22:28:29:60|71:46:58:92:42
t 37:57:47:00:00|64:69:92:49:77
t 41:91:33:97:68|65:81:21:52:62
t 22:01:71:02:21|29:07:30:11:02
t 38:01:48:03:00|82:44:86:82:26
t 37:02:84:66:37|98:17:04:81:25
t 79:57:55:86:97|86:62:47:59:15
t 08:39:78:22:90|59:41:83:79:62
t 76:80:80:74:69|78:08:02:53:02
t 69:64:93:57:01|86:97:22:77:08
t 15:87:11:56:81|90:97:95:72:40
t 79:10:06:78:36|94:59:87:99:93
t 10:00:22:43:82|74:89:43:54:29
t 03:36:92:53:64|34:40:26:78:36
t 20:72:89:80:82|35:43:07:41:55
t 31:49:92:34:21|95:20:87:12:99
t 23:40:11:23:84|71:12:79:19:65
t 01:04:49:90:67|46:08:90:85:76
t 42:32:14:61:14|93:55:09:94:26
t 40:81:33:35:47|64:21:08:32:61
t 27:61:49:12:24|81:20:44:29:01
t 43:49:02:09:62|44:25:77:32:40
t 48:58:64:33:16|56:33:62:46:92
t 22:81:19:23:05|76:81:62:13:88
t 27:38:28:62:89|37:80:65:73:71
t 47:67:24:93:82|91:04:71:72:70
t 67:69:38:61:37|76:13:60:60:17
t 32:11:91:85:35|38:95:01:77:53
t 61:37:73:04:30|62:25:97:96:88
t 00:43:71:80:98|99:02:63:75:78
t 29:65:81:00:14|42:58:93:72:82
t 16:33:75:53:91|71:40:76:71:54
t 45:01:09:69:94|45:85:53:71:79
t 36:53:73:89:52|56:87:14:15:77
t 67:64:00:09:18|74:29:66:06:77
t 14:03:91:83:97|51:97:32:69:72
t 23:57:55:03:66|49:10:04:50:82
t 44:04:77:69:03|62:86:17:28:74
t 22:91:89:72:29|65:41:21:83:31
t 55:42:80:35:98|98:71:83:86:90
t 43:04:31:13:68|48:84:59:69:94
t 07:89:37:99:47|49:66:21:33:81
t 92:16:82:60:77|94:14:41:55:61
t 33:44:89:46:65|58:88:07:90:52
t 91:92:83:45:53|91:94:16:33:37
t 14:16:51:63:28|62:17:43:36:48
t 23:15:00:65:04|39:27:86:75:08
t 34:80:11:15:78|51:41:07:52:65
t 01:13:03:39:24|60:66:04:61:06
t 11:87:41:97:20|89:02:85:83:59
t 48:16:64:02:48|65:95:20:23:21
t 16:20:16:76:52|22:74:39:95:36
t 11:12:02:16:17|31:69:81:17:92
t 06:29:68:98:95|88:78:96:86:38
t 10:95:95:28:02|38:43:04:41:05
t 03:28:36:19:00|79:91:97:95:54
t 66:28:08:63:37|79:28:07:03:61
t 14:55:68:59:46|78:70:93:75:10
t 03:68:96:26:78|16:83:77:78:83
t 04:19:16:02:29|48:31:26:69:88
t 26:31:06:34:51|80:21:30:85:53
t 23:17:50:18:70|33:16:19:23:09
t 01:33:43:25:34|77:31:98:26:36
t 29:86:26:15:25|50:24:47:51:99
t 64:75:02:79:94|73:91:02:09:43
t 13:42:71:64:00|65:58:90:86:86
t 21:48:93:70:89|42:15:27:59:05
t 70:91:06:23:86|74:04:97:07:02
t 10:62:37:14:84|31:67:50:27:64
t 06:69:97:77:22|86:15:03:88:64
t 08:69:85:09:55|30:04:75:32:26
t 28:90:92:07:80|82:31:98:09:75
t 05:64:06:35:30|92:84:82:22:18
t 25:78:82:24:79|87:00:09:77:82
t 09:28:73:45:44|75:41:71:78:64
t 40:65:84:51:08|99:83:45:24:31
t 23:07:58:77:82|40:16:20:21:80
t 34:55:24:43:03|36:78:68:24:37
t 49:01:89:45:70|58:90:97:02:11
t 13:26:77:05:50|53:96:61:18:18
t 79:70:09:13:55|84:96:05:41:81
t 36:09:23:28:59|42:83:36:41:54
t 48:91:47:13:94|86:16:43:17:72
t 81:48:51:42:80|93:85:46:61:28
t 71:87:76:51:86|80:37:31:14:45
t 32:99:91:95:44|62:62:97:48:49
t 32:25:93:79:78|38:12:68:95:33
t 53:01:76:52:37|58:14:71:72:93
t 54:90:10:94:68|96:68:28:62:18
t 02:57:51:79:38|86:34:74:57:13
t 03:81:71:07:13|86:94:38:24:38
t 52:41:94:26:67|97:20:55:61:74
t 20:93:29:11:38|65:97:04:91:94
t 03:03:25:06:88|59:31:70:86:37
t 30:27:46:92:22|95:32:71:70:65
t 34:48:53:11:73|56:46:44:93:64
t 01:53:63:73:56|57:31:04:37:78
t 78:98:42:05:93|86:10:34:80:48
t 24:08:17:37:35|34:96:42:40:39
t 08:37:44:16:49|21:89:16:80:45
t 12:90:62:70:08|40:20:92:35:44
t 71:58:16:09:93|90:12:84:10:02
t 25:66:25:58:47|29:72:93:67:33
t 79:08:80:32:07|85:01:75:08:52
t 65:80:91:15:69|92:39:45:60:09
t 15:08:66:69:07|58:91:36:74:01
t 73:68:07:61:88|88:66:82:77:35
t 36:23:38:80:04|56:95:49:74:51
t 01:38:96:54:54|61:16:55:31:79
t 11:59:80:62:63|42:98:44:44:15
t 38:76:87:56:78|99:61:84:51:77
t 80:96:26:65:88|85:18:98:46:82
t 06:69:58:66:75|85:03:19:06:50
t 59:50:75:20:76|82:18:26:68:45
t 54:24:55:07:44|78:61:47:68:57
t 16:03:48:24:97|76:68:60:98:73
t 58:90:67:75:58|91:12:20:05:77
t 44:19:77:50:90|60:01:30:47:50
t 52:43:97:70:39|73:32:65:33:34
t 30:23:60:52:36|64:48:56:16:34
t 24:44:07:23:91|52:15:95:27:29
t 52:17:19:28:32|74:72:35:00:91
t 46:80:89:04:19|49:95:55:06:73
t 09:73:08:92:93|42:91:87:25:72
t 06:12:44:14:88|08:33:50:19:65
t 49:46:79:97:59|57:26:54:35:93
t 83:93:05:52:39|95:06:59:65:04
t 63:56:93:12:49|97:34:65:70:67
t 12:93:25:85:24|83:86:75:39:44
t 79:99:55:93:77|81:24:22:42:72
t 16:24:22:33:04|94:24:45:45:84
t 04:74:46:90:53|83:19:41:08:20
t 53:65:20:85:76|84:57:84:43:15
t 15:81:47:19:15|61:66:19:36:71
t 79:31:72:61:62|98:94:83:36:99
t 17:44:14:50:73|19:00:19:97:95
t 93:40:72:54:51|93:42:89:07:15
t 01:04:47:04:20|22:57:63:59:45
t 45:23:72:53:83|98:72:08:39:62
t 42:61:51:97:41|85:96:88:62:83
t 10:49:10:48:25|40:16:24:51:44
t 08:66:72:92:23|90:10:89:70:19
t 54:55:44:01:32|82:30:75:12:79
t 25:79:55:39:08|56:98:05:51:26
t 25:20:11:25:24|74:69:92:61:58
t 10:28:61:39:56|39:03:51:44:13
t 77:11:99:41:03|98:13:53:19:35
t 15:56:93:82:54|32:02:69:19:24
t 08:03:59:48:23|37:14:92:26:42
t 07:99:41:41:64|96:01:26:94:72
t 01:35:69:01:65|33:62:82:90:83
t 09:33:10:57:37|93:37:90:60:63
t 15:29:35:88:70|45:95:85:27:29
t 51:84:74:47:47|59:22:15:15:01
t 05:40:52:97:48|43:26:63:88:17
t 23:11:49:57:25|31:71:76:07:10
t 50:47:08:40:98|95:06:45:76:89
t 16:16:24:65:23|60:59:53:56:69
t 43:21:53:21:90|89:20:18:10:80
t 05:81:71:69:93|72:76:53:11:63
t 54:90:84:47:86|69:37:74:30:27
t 13:68:17:28:05|64:41:91:36:98
t 38:29:13:56:53|99:55:76:90:30
t 12:69:27:07:34|75:26:76:75:07
t 61:83:41:77:59|62:95:71:21:96
t 17:09:05:76:82|78:75:88:34:21
t 42:85:39:20:39|71:15:63:58:87
t 00:41:36:51:14|48:59:33:38:76
t 33:80:92:91:28|68:77:99:46:64
t 24:41:35:51:20|55:24:69:84:11
t 55:07:44:32:99|99:14:97:74:28
t 26:07:08:94:48|97:28:72:55:92
t 15:97:45:09:89|17:51:64:96:81
t 67:07:33:94:03|73:63:10:14:48
t 86:73:47:15:38|95:36:88:48:58
t 66:64:55:42:52|80:92:46:47:82
t 29:14:40:95:17|53:97:49:65:84
t 66:63:04:16:67|94:31:54:86:05
t 51:28:26:98:43|81:05:39:85:69
t 13:70:70:69:64|47:06:95:63:32
t 90:94:81:95:60|95:33:37:61:67
t 29:52:98:49:28|74:01:56:51:83
t 04:38:83:16:83|16:80:63:63:06
t 01:64:03:71:06|75:73:56:34:01
t 44:26:18:71:21|90:30:85:61:30
t 27:26:67:34:40|75:73:31:94:39
t 64:92:77:79:80|95:76:51:83:94
t 23:67:57:98:58|65:36:68:05:00
t 52:45:43:51:77|82:77:62:50:06
t 15:37:66:80:77|80:01:20:70:73
t 14:35:16:34:91|42:40:16:19:35
t 05:42:11:90:44|18:18:89:46:79
t 19:57:13:45:67|97:12:48:08:76
t 31:95:71:10:11|94:73:44:90:10
t 68:82:30:37:15|88:62:75:33:29
t 10:47:53:29:51|22:50:47:05:33
t 34:84:69:76:27|37:73:44:91:09
t 17:10:66:01:74|36:05:84:84:16
t 05:41:27:09:59|93:23:66:16:23
t 47:88:34:71:67|80:86:71:43:96
t 54:34:67:05:85|95:93:56:57:18
t 18:42:50:49:73|74:43:22:10:65
t 28:82:29:42:08|96:99:62:33:56
t 53:97:32:52:44|72:95:76:62:12
t 05:82:52:50:77|69:04:39:12:64
t 08:26:48:76:58|47:54:67:42:35
t 15:53:44:72:51|41:97:53:84:05
t 28:11:81:46:71|97:20:46:22:18
t 21:72:28:38:88|40:24:19:90:46
t 29:32:05:76:70|38:72:59:81:30
t 83:42:68:89:19|87:81:75:61:37
t 30:01:84:71:97|84:04:69:43:61
t 87:54:48:87:26|96:42:31:07:09
t 39:29:45:60:44|46:68:68:21:09
t 19:29:67:88:16|89:57:32:50:67
t 06:63:93:59:34|86:24:58:41:78
t 13:17:57:29:26|15:35:07:12:51
t 52:74:53:26:82|88:48:31:87:13
t 34:03:90:94:14|68:99:97:93:79
t 87:38:88:40:41|91:18:82:34:71
t 48:74:21:26:84|88:12:66:73:09
t 17:49:05:95:46|98:67:75:82:52
t 72:09:19:90:61|73:80:89:67:15
t 54:06:11:25:15|57:83:37:07:95
t 16:90:96:02:63|67:27:99:68:99
t 12:90:60:64:27|61:04:84:45:39
t 39:00:20:48:78|50:51:06:80:40
t 25:09:42:35:40|34:56:57:95:43
t 07:79:35:91:63|73:93:16:65:68
t 26:25:50:13:78|86:18:18:31:79
t 83:04:01:73:78|93:38:29:83:85
t 47:43:47:68:67|49:97:73:11:57
t 16:33:61:00:47|68:07:20:95:37
